City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talcahuano,-36.7167,-73.1167,46.08,100,58,0.0,CL,1690424259
1,port-aux-francais,-49.35,70.2167,39.99,78,90,36.06,TF,1690424269
2,port alfred,-33.5906,26.891,61.41,82,92,10.67,ZA,1690424269
3,saint-leu,-21.15,55.2833,65.26,76,47,11.68,RE,1690424269
4,midleton,51.9153,-8.1805,61.12,97,100,11.1,IE,1690424269
5,port elizabeth,-33.918,25.5701,53.89,71,0,6.91,ZA,1690424269
6,margaret river,-33.95,115.0667,56.44,68,97,11.99,AU,1690424269
7,touros,-5.1989,-35.4608,74.98,89,34,11.39,BR,1690424076
8,hami,42.8,93.45,94.5,10,0,9.73,CN,1690424033
9,stiens,53.2623,5.7577,59.99,84,100,5.75,NL,1690424269
10,grytviken,-54.2811,-36.5092,33.57,98,100,11.3,GS,1690424022
11,lompoc,34.6391,-120.4579,75.34,84,100,10.36,US,1690424270
12,invercargill,-46.4,168.35,45.36,70,100,16.31,NZ,1690424270
13,haiku-pauwela,20.9219,-156.3051,83.17,69,40,25.32,US,1690424270
14,olonkinbyen,70.9221,-8.7187,40.37,90,100,10.51,SJ,1690424020
15,hithadhoo,-0.6,73.0833,82.98,78,31,16.35,MV,1690424270
16,kyshtovka,56.555,76.6271,67.15,71,72,1.41,RU,1690424270
17,waitangi,-43.9535,-176.5597,46.81,88,81,1.99,NZ,1690424270
18,taoudenni,22.6783,-3.9836,99.52,23,25,8.86,ML,1690424026
19,anadyr,64.75,177.4833,55.9,82,75,11.18,RU,1690424271
20,lethem,3.3803,-59.7968,75.9,91,100,1.77,GY,1690424060
21,blackmans bay,-43.0167,147.3167,54.73,71,100,4.54,AU,1690424271
22,keflavik,64.0049,-22.5624,50.43,87,20,11.5,IS,1690424271
23,lagoa,39.05,-27.9833,71.98,92,41,16.22,PT,1690424271
24,ribeira grande,38.5167,-28.7,73.78,96,42,1.99,PT,1690424272
